 ,Branch_ID,Node_ID,X,Y
1,0,0,2041.000,1168.000
2,0,1,2031.088,1168.456
3,0,2,2021.176,1168.911
4,0,3,2011.264,1169.367
5,0,4,2001.352,1169.823
6,0,5,1991.440,1170.279
7,0,6,1981.529,1170.734
8,0,7,1971.617,1171.190
9,0,8,1961.705,1171.646
10,0,9,1951.789,1172.011
11,0,10,1941.868,1172.141
12,0,11,1931.946,1172.256
13,0,12,1922.024,1172.372
14,0,13,1912.102,1172.487
15,0,14,1902.181,1172.603
16,0,15,1892.259,1172.718
17,0,16,1882.337,1172.833
18,0,17,1872.416,1172.949
19,0,18,1862.498,1172.655
20,0,19,1852.590,1172.111
21,0,20,1842.684,1171.539
22,0,21,1832.778,1170.968
23,0,22,1822.872,1170.396
24,0,23,1813.229,1168.062
25,0,24,1804.373,1163.585
26,0,25,1795.686,1158.792
27,0,26,1786.998,1153.999
28,0,27,1778.310,1149.205
29,0,28,1769.622,1144.412
30,0,29,1760.934,1139.619
31,0,30,1753.091,1133.541
32,0,31,1745.643,1126.986
33,0,32,1738.235,1120.384
34,0,33,1730.828,1113.782
35,0,34,1723.421,1107.180
36,0,35,1716.014,1100.578
37,0,36,1708.612,1093.970
38,0,37,1701.214,1087.358
39,0,38,1693.816,1080.745
40,0,39,1686.419,1074.132
41,0,40,1679.021,1067.519
42,0,41,1671.624,1060.906
43,0,42,1664.226,1054.293
44,0,43,1656.829,1047.680
45,0,44,1649.431,1041.067
46,0,45,1641.091,1035.691
47,0,46,1632.276,1031.138
48,0,47,1623.401,1026.700
49,0,48,1614.516,1022.283
50,0,49,1605.342,1018.503
51,0,50,1596.051,1015.019
52,0,51,1586.760,1011.535
53,0,52,1577.470,1008.051
54,0,53,1568.406,1004.013
55,0,54,1559.559,999.521
56,0,55,1550.759,994.937
57,0,56,1541.959,990.354
58,0,57,1533.158,985.770
59,0,58,1524.446,981.021
60,0,59,1515.971,975.861
61,0,60,1507.614,970.513
62,0,61,1499.256,965.164
63,0,62,1490.899,959.815
64,0,63,1482.542,954.467
65,0,64,1473.864,949.654
66,0,65,1464.610,946.075
67,0,66,1455.136,943.125
68,0,67,1445.663,940.174
69,0,68,1436.190,937.223
70,0,69,1426.716,934.272
71,0,70,1417.238,931.337
72,0,71,1407.458,929.659
73,0,72,1397.555,929.050
74,0,73,1387.651,928.440
75,0,74,1377.747,927.831
76,0,75,1367.844,927.221
77,0,76,1357.940,926.612
78,0,77,1348.036,926.004
79,0,78,1338.133,925.398
80,0,79,1328.229,924.794
81,0,80,1318.325,924.190
82,0,81,1308.421,923.587
83,0,82,1298.517,922.983
84,0,83,1288.613,922.379
85,0,84,1278.709,921.775
86,0,85,1268.789,921.563
87,0,86,1258.949,922.839
88,0,87,1249.348,925.344
89,0,88,1239.747,927.849
90,0,89,1230.146,930.353
91,0,90,1220.611,933.100
92,0,91,1211.249,936.388
93,0,92,1201.996,939.969
94,0,93,1192.742,943.551
95,0,94,1183.489,947.133
96,0,95,1174.236,950.715
97,0,96,1164.983,954.297
98,0,97,1155.287,956.405
99,0,98,1145.379,955.866
100,0,99,1135.496,954.977
101,0,100,1125.614,954.089
102,0,101,1115.731,953.201
103,0,102,1105.849,952.312
104,0,103,1095.966,951.424
105,0,104,1086.084,950.536
106,0,105,1076.201,949.647
107,0,106,1066.317,948.775
108,0,107,1056.431,947.935
109,0,108,1046.544,947.097
110,0,109,1036.657,946.259
111,0,110,1026.770,945.421
112,0,111,1016.882,944.591
113,0,112,1006.961,944.468
114,0,113,997.154,945.976
115,0,114,987.347,947.485
116,0,115,977.540,948.994
117,0,116,967.733,950.503
118,0,117,958.110,952.925
119,0,118,949.548,957.939
120,0,119,941.430,963.644
121,0,120,933.311,969.349
122,0,121,925.139,974.976
123,0,122,916.654,980.119
124,0,123,907.734,984.467
125,0,124,898.816,988.815
126,0,125,889.897,993.163
127,0,126,880.978,997.511
128,0,127,872.059,1001.859
129,0,128,863.140,1006.207
130,0,129,854.221,1010.555
131,0,130,845.503,1015.294
132,0,131,838.340,1022.160
133,0,132,833.792,1030.979
134,0,133,829.245,1039.798
135,0,134,824.698,1048.617
136,0,135,820.150,1057.436
137,0,136,815.603,1066.255
138,0,137,810.916,1075.000
139,0,138,804.946,1082.926
140,0,139,796.552,1088.217
